PACKAGEID,PACKAGENAME
54687,food：美味的食物
54736,三年级必背古诗词
54818,人类简史
54861,写人作文专项训练
54906,古诗词里的夏天
54943,趣讲史记·52集
54987,名师带你读鲁迅
55016,奇妙的人体·3-8岁启蒙
55048,奇幻冒险名著合集
55067,小学必背文言文20讲
55090,少年读三国·儿童广播剧
55173,少年读唐诗·25篇
55199,带孩子环游世界·12期
55231,带孩子环游中国·18期
55273,成语故事·历史典故篇
55281,成语故事·寓言故事篇
55308,成语故事·神话传说篇
55318,成长励志名著合集
55328,文学大师作品精讲阅读课
55359,文言文里的寓言故事
55388,水浒传·名著解读
55447,科普小故事·3-8岁睡前读物
55468,精编成语故事·小学必备
55489,细说红楼梦中人
55528,语文课本中的大人物
55545,趣讲西游记·全集
57723,恐龙百科·科学启蒙
64502,7天单词速记
64539,数学知识点讲解·毛毛老师
64565,语文知识点讲解·池子老师
64739,「论语」精讲
64747,中国皇帝传
65249,三字经·国学启蒙
65274,世界经典童话中英双语
65294,十二生肖的故事
65295,中国现代文学大师作品精讲
65302,奇妙的动物世界
65342,好妈妈家庭教育课
65353,趣味物理课·初中必备
65836,小猪佩奇双语动画
78497,口语练习30天
78528,国学经典系列读物
78563,宇宙奇妙大探险
78596,改变生活的发明
78627,昆虫记·趣味有声剧
78649,漫游36座顶尖博物馆
78686,《鲁滨逊漂流记》名著精讲
100008,叫早英语儿歌！
100009,英语自然拼读故事会
100010,中国神话故事
100011,365夜睡前故事
100012,福尔摩斯探案集
100013,《安徒生童话》有声剧
100018,《海底两万里》有声剧
100019,公主故事有声剧
100020,《伊索寓言》有声剧
100021,《查理和巧克力工厂》
100022,《汤姆索亚历险记》精讲
100023,千字文
100027,红色经典
100028,世说新语
100049,初中历史考前快听快背
100057,初中英语核心词汇百日打卡
100061,高中英语核心词汇百日打卡
100062,英语分级阅读
100071,精选成语故事
100074,初中古诗词精讲
100076,《骆驼祥子》名著精讲
100077,趣讲唐宋八大家
100079,小学生《看电影学英语》
100080,初中生《看电影学英语》
100086,《看电影学英语》视频
100120,七年级上册精讲历史
100161,趣说历史人物
100163,数学趣味课堂
100170,高老头
100172,科普知识万花筒
100173,克雷洛夫寓言
100194,趣味学单词
100198,冷爷知识科普
100202,家庭教育专题课
100204,新年科普知识特辑
100249,雪球益智小游戏100期